Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
119,0,140.161835,-80.200783,6.521162,39.241985,-21.423931,57.272411,89.267860,-130.780823,9.154708,-7.182273,22.945799,53.882740,-32.302856,47.849880,36.529598,,,
120,0,140.163345,-80.207817,6.559858,39.228359,-21.445910,57.274338,89.246887,-130.788818,9.182252,-7.185420,22.925856,53.892399,-32.302376,47.853413,36.534084,,,
121,0,140.128647,-80.239120,6.577725,39.235107,-21.453083,57.287796,89.286125,-130.961136,9.164665,-7.184514,22.971424,53.904846,-32.324394,47.841862,36.548256,,,
122,0,140.133118,-80.243156,6.569551,39.215279,-21.459682,57.270206,89.272980,-130.947845,9.162952,-7.186072,22.946878,53.883869,-32.345009,47.795372,36.531685,,,
123,0,140.132172,-80.242775,6.589547,39.230312,-21.425205,57.291714,89.201218,-130.881958,9.274245,-7.193476,22.963316,53.907196,-32.304588,47.852974,36.549358,,,
124,0,140.131790,-80.236588,6.601988,39.209007,-21.403053,57.305630,89.413155,-130.929688,9.296232,-7.191637,22.971884,53.893223,-32.337269,47.831390,36.542858,,,
125,0,140.152191,-80.230858,6.607864,39.223110,-21.425426,57.289066,89.336349,-130.899002,9.304564,-7.195626,22.971029,53.903309,-32.301994,47.853378,36.548138,,,
126,0,140.171265,-80.233788,6.624491,39.246452,-21.429394,57.314037,89.272392,-130.826447,9.360510,-7.181646,22.946495,53.910748,-32.301598,47.832397,36.566246,,,
127,0,140.171265,-80.234322,6.624788,39.240601,-21.410372,57.305386,89.280136,-130.881134,9.349186,-7.181231,22.911823,53.896030,-32.318676,47.809036,36.571136,,,
128,0,140.191879,-80.220795,6.656684,39.248634,-21.433159,57.299858,89.408463,-130.867203,9.315482,-7.179309,22.902847,53.886097,-32.321022,47.804329,36.562153,,,
129,0,140.191544,-80.246445,6.677674,39.258221,-21.432383,57.298031,89.352859,-130.806686,9.360670,-7.174847,22.903549,53.887695,-32.315693,47.808712,36.593090,,,
130,0,140.227493,-80.225815,6.691703,39.236309,-21.455223,57.279903,89.469948,-130.966766,9.342458,-7.171257,22.876696,53.884335,-32.321705,47.799625,36.583817,,,
131,0,140.229095,-80.250153,6.663010,39.278061,-21.441414,57.290604,89.522774,-131.036423,9.295532,-7.170821,22.888348,53.891541,-32.293789,47.790405,36.549274,,,
132,0,140.223328,-80.238235,6.640603,39.252293,-21.457438,57.252502,89.580818,-131.093079,9.306341,-7.149758,22.890423,53.890736,-32.321579,47.765205,36.556747,,,
133,0,140.214172,-80.251053,6.613945,39.253994,-21.483461,57.263218,89.513557,-131.016769,9.326756,-7.163410,22.886137,53.888241,-32.298073,47.759274,36.535736,,,
134,0,140.209671,-80.287285,6.586428,39.239304,-21.503408,57.252010,89.455605,-130.895004,9.327346,-7.170018,22.883554,53.888313,-32.298504,47.763397,36.546646,,,
135,0,140.189758,-80.259209,6.582945,39.239285,-21.509766,57.261738,89.398674,-130.912460,9.283705,-7.158227,22.897902,53.896618,-32.304691,47.765301,36.555527,,,
136,0,140.193314,-80.235985,6.575196,39.235725,-21.501665,57.257824,89.327362,-130.818619,9.289259,-7.160495,22.894749,53.893356,-32.331791,47.762436,36.549572,,,
137,0,140.177399,-80.227135,6.575236,39.202236,-21.493031,57.255516,89.334328,-130.863815,9.272535,-7.163145,22.881411,53.925343,-32.341553,47.775848,36.550404,,,
138,0,140.186234,-80.209282,6.594977,39.184708,-21.493528,57.268951,89.345695,-130.918701,9.286159,-7.162387,22.928680,53.913704,-32.347443,47.802490,36.559250,,,
139,0,140.164703,-80.121239,6.585836,39.193073,-21.461227,57.284534,89.489182,-130.833023,9.250551,-7.176825,22.944904,53.935886,-32.331493,47.832596,36.565529,,,
140,0,140.165253,-80.122444,6.585911,39.178791,-21.411884,57.270252,89.266243,-130.891632,9.242064,-7.200587,22.975487,53.921364,-32.362885,47.849384,36.555012,,,
141,0,140.202057,-80.068504,6.590237,39.164917,-21.390152,57.288799,89.369377,-130.736694,9.280463,-7.209468,22.977114,53.943390,-32.357529,47.881805,36.587482,,,
142,0,140.200653,-80.049484,6.601175,39.167484,-21.382528,57.319248,89.498161,-130.821060,9.247698,-7.200739,22.996912,53.952736,-32.354706,47.875366,36.597614,,,
143,0,140.226166,-79.975632,6.655578,39.170200,-21.385571,57.328365,89.434944,-130.742661,9.270006,-7.184546,23.007462,53.968937,-32.379406,47.859909,36.601231,,,
144,0,140.267517,-79.995056,6.692553,39.175823,-21.355619,57.351170,89.521744,-130.732651,9.281453,-7.208075,23.003010,53.976650,-32.405891,47.872654,36.599823,,,
145,0,140.268921,-79.977509,6.732439,39.165405,-21.353106,57.346645,89.340393,-130.631668,9.341326,-7.206106,23.023201,53.968472,-32.409626,47.863487,36.603153,,,
146,0,140.251846,-79.934792,6.744902,39.188122,-21.342468,57.359364,89.617241,-130.677292,9.345196,-7.219615,23.047876,53.979008,-32.381405,47.894550,36.628025,,,
